"max_Re_eigen_jacobian","alpha_H","alpha_L","trait_matching","n_spe_H_val","n_spe_L_val","num_persistent_species","simulation_converged","trait_quartile"
-0.0807302944892706,0.257502072490752,2.46847027912736,0.924268568411935,36,29,63,TRUE,"Trait matching (Q4)"
-0.0351650053993843,3.93674636725336,1.69652604497969,0.814950127864722,35,49,84,TRUE,"Trait matching (Q4)"
-0.0460328023239987,2.81952343415469,1.37805266072974,0.831367276969831,33,48,81,TRUE,"Trait matching (Q4)"
-0.18595503239961,4.22700491151772,0.521624027751386,0.592666734138038,26,14,30,TRUE,"Trait matching (Q3)"
-0.0931782631234408,4.71481853630394,1.45319070434198,0.877546851232182,45,35,70,TRUE,"Trait matching (Q4)"
-0.0498994482513225,3.86113924323581,3.6020734696649,0.136398276931141,50,33,65,TRUE,"Trait matching (Q1)"
-0.0430356796037695,1.61252573132515,4.14177337777801,0.976008996856399,23,37,60,TRUE,"Trait matching (Q4)"
-0.134798810500417,1.82559242355637,3.44776257523336,0.803042863274459,42,10,42,TRUE,"Trait matching (Q4)"
-0.156432298049121,1.30114121595398,4.82448914204724,0.594782835990191,47,14,48,TRUE,"Trait matching (Q3)"
-0.0846064972395254,1.33253898238763,1.80476648616605,0.844913659268059,38,32,63,TRUE,"Trait matching (Q4)"
-0.0264294146630026,1.21620295918547,4.62618892546743,0.295709642011207,20,44,64,TRUE,"Trait matching (Q2)"
-0.038473793436284,1.09777902020141,4.60958852432668,0.255244067963213,40,45,81,TRUE,"Trait matching (Q1)"
-0.036399248353108,1.70193529571407,1.86328483163379,0.90981203118572,15,27,42,TRUE,"Trait matching (Q4)"
-0.111741199011963,2.86353882635012,3.77940124133602,0.158277062303387,43,23,56,TRUE,"Trait matching (Q1)"
-0.04282305512781,3.47044511698186,4.11730747204274,0.157989034266211,25,43,64,TRUE,"Trait matching (Q1)"
-0.0369425531338767,1.82026432245038,3.8414759922307,0.705593286454678,24,29,53,TRUE,"Trait matching (Q3)"
-0.01447224425225,4.82054671738297,1.11079532420263,0.347747667576186,20,44,64,TRUE,"Trait matching (Q2)"
-0.0363493078551029,0.200709553901106,4.20626875013113,0.947606299025938,20,33,53,TRUE,"Trait matching (Q4)"
-0.0287460463810116,0.486095302039757,3.92583167995326,0.0753990844008513,23,23,38,TRUE,"Trait matching (Q1)"
-0.120278607669879,1.40049186884426,1.47527945693582,0.794967951311264,27,25,46,TRUE,"Trait matching (Q4)"
