"","real_eigenvalue","power_H","power_L","complementarity"
"48",4.21083762273848,1e-04,1e-04,0.25
"49",4.14544373618489,1e-04,1e-04,0.25
"50",3.67687501081906,1e-04,1e-04,0.25
"51",4.79089814663839,1e-04,1e-04,0.25
"52",3.38096755573604,1e-04,1e-04,0.25
"53",4.11252629351635,1e-04,1e-04,0.25
"54",3.70245293593363,1e-04,1e-04,0.25
"55",4.81230799992352,1e-04,1e-04,0.25
"56",3.70262820190409,1e-04,1e-04,0.25
"57",3.62675445908714,1e-04,1e-04,0.25
"58",3.95849141588852,1e-04,1e-04,0.25
"59",3.41716611838714,1e-04,1e-04,0.25
"60",4.19058904345802,1e-04,1e-04,0.25
"61",4.07430811924626,1e-04,1e-04,0.25
"62",3.86979171945252,1e-04,1e-04,0.25
"63",4.00488470027667,1e-04,1e-04,0.25
"64",5.1473614219695,1e-04,1e-04,0.25
"65",4.09802624130173,1e-04,1e-04,0.25
"66",3.33898992429973,1e-04,1e-04,0.25
"67",4.10003174756007,1e-04,1e-04,0.25
"68",4.12107310737587,1e-04,1e-04,0.25
"69",3.96407580173577,1e-04,1e-04,0.25
"70",3.38012529243209,1e-04,1e-04,0.25
"71",3.82181490836037,1e-04,1e-04,0.25
"72",5.46543703180855,1e-04,1e-04,0.25
"73",4.4048547391548,1e-04,1e-04,0.25
"74",5.41057865441637,1e-04,1e-04,0.25
"75",4.55863359328711,1e-04,1e-04,0.25
"76",5.50561604876171,1e-04,1e-04,0.25
"77",4.80713947609876,1e-04,1e-04,0.25
"78",4.89591312009972,1e-04,1e-04,0.25
"79",4.19773960309675,1e-04,1e-04,0.25
"80",4.09536596270592,1e-04,1e-04,0.25
"81",5.78818270309399,1e-04,1e-04,0.25
"82",3.89972334655222,1e-04,1e-04,0.25
"83",5.7814444470458,1e-04,1e-04,0.25
"84",5.35744582445153,1e-04,1e-04,0.25
"85",4.54197374400183,1e-04,1e-04,0.25
"86",3.02222021672244,1e-04,1e-04,0.25
"87",3.37976066828575,1e-04,1e-04,0.25
"88",4.3186712938859,1e-04,1e-04,0.25
"89",4.04525292322415,1e-04,1e-04,0.25
"90",4.95674459014593,1e-04,1e-04,0.25
"91",4.39141205538287,1e-04,1e-04,0.25
"92",4.03723230828482,1e-04,1e-04,0.25
"93",3.49492052740358,1e-04,1e-04,0.25
"94",4.77412938680204,1e-04,1e-04,0.25
"95",4.54520489763855,1e-04,1e-04,0.25
"96",4.17695117509268,1e-04,1e-04,0.25
"97",5.12104397354509,1e-04,1e-04,0.25
"98",4.54812445174382,1e-04,1e-04,0.25
"99",4.3303333814692,1e-04,1e-04,0.25
"100",4.34026818177407,1e-04,1e-04,0.25
"101",5.5007803675457,1e-04,1e-04,0.25
"102",3.30780315806019,1e-04,1e-04,0.25
"103",4.10286879173029,1e-04,1e-04,0.25
"104",4.54904472038139,1e-04,1e-04,0.25
"105",3.89454560549439,1e-04,1e-04,0.25
"106",4.91302691215253,1e-04,1e-04,0.25
"107",5.10302148949218,1e-04,1e-04,0.25
"108",3.94528367736224,1e-04,1e-04,0.25
"109",4.65541505574992,1e-04,1e-04,0.25
"110",4.31663132996316,1e-04,1e-04,0.25
"111",4.10453084245754,1e-04,1e-04,0.25
"112",4.18374059009492,1e-04,1e-04,0.25
"113",3.98210479316275,1e-04,1e-04,0.25
"114",4.23389176512488,1e-04,1e-04,0.25
"115",4.03277333640501,1e-04,1e-04,0.25
"116",4.59395486816416,1e-04,1e-04,0.25
"117",4.18331778193307,1e-04,1e-04,0.25
"118",4.23431620159831,1e-04,1e-04,0.25
"119",4.22793763447642,1e-04,1e-04,0.25
"120",3.78828759056876,1e-04,1e-04,0.25
"121",5.50834024911297,1e-04,1e-04,0.25
"122",3.24390752108222,1e-04,1e-04,0.25
"123",3.66495657640742,1e-04,1e-04,0.25
"124",3.51130732221095,1e-04,1e-04,0.25
"125",3.59550375137959,1e-04,1e-04,0.25
"126",4.02311379779728,1e-04,1e-04,0.25
"127",5.10599416682325,1e-04,1e-04,0.25
"128",4.32425039609418,1e-04,1e-04,0.25
"129",4.1861091355569,1e-04,1e-04,0.25
"130",3.77351076924026,1e-04,1e-04,0.25
"131",4.68694853587995,1e-04,1e-04,0.25
"132",5.1619001199905,1e-04,1e-04,0.25
